muni_code_hecho|region
18205|Cercano zona desmilitarizada
18247|Cercano zona desmilitarizada
18256|Cercano zona desmilitarizada
18410|Cercano zona desmilitarizada
18460|Cercano zona desmilitarizada
18479|Cercano zona desmilitarizada
18592|Cercano zona desmilitarizada
18610|Cercano zona desmilitarizada
18753|Municipio desmilitarizado
18756|Cercano zona desmilitarizada
18785|Cercano zona desmilitarizada
18860|Cercano zona desmilitarizada
19001|Resto del país
19022|Resto del país
19050|Resto del país
19075|Resto del país
19100|Resto del país
19110|Resto del país
19130|Resto del país
19137|Resto del país
19142|Resto del país
19212|Resto del país
19256|Resto del país
19290|Resto del país
19300|Resto del país
19355|Resto del país
19364|Resto del país
19392|Resto del país
19397|Resto del país
19418|Resto del país
19450|Resto del país
19455|Resto del país
19473|Resto del país
19513|Resto del país
19517|Resto del país
19532|Resto del país
19533|Resto del país
19548|Resto del país
19573|Resto del país
19585|Resto del país
19622|Resto del país
19693|Resto del país
19698|Resto del país
19701|Resto del país
19743|Resto del país
19760|Resto del país
19780|Resto del país
19785|Resto del país
19807|Resto del país
19809|Resto del país
19821|Resto del país
19824|Resto del país
19845|Resto del país
20001|Resto del país
20011|Resto del país
20013|Resto del país
20032|Resto del país
20045|Resto del país
20060|Resto del país
20175|Resto del país
20178|Resto del país
20228|Resto del país
20238|Resto del país
20250|Resto del país
20295|Resto del país
20310|Resto del país
20383|Resto del país
20400|Resto del país
20443|Resto del país
20517|Resto del país
20550|Resto del país
20570|Resto del país
20614|Resto del país
20621|Resto del país
20710|Resto del país
20750|Resto del país
20770|Resto del país
20787|Resto del país
23001|Resto del país
23068|Resto del país
23079|Resto del país
23090|Resto del país
23162|Resto del país
23168|Resto del país
23182|Resto del país
23189|Resto del país
23300|Resto del país
23350|Resto del país
23417|Resto del país
23419|Resto del país
23464|Resto del país
23466|Resto del país
23500|Resto del país
23555|Resto del país
23570|Resto del país
23574|Resto del país
23580|Resto del país
23586|Resto del país
23660|Resto del país
23670|Resto del país
23672|Resto del país
23675|Resto del país
23678|Resto del país
23682|Resto del país
23686|Resto del país
23807|Resto del país
23815|Resto del país
23855|Resto del país
25001|Resto del país
25019|Resto del país
25035|Resto del país
25040|Resto del país
25053|Resto del país
25086|Resto del país
25095|Resto del país
25099|Resto del país
25120|Resto del país
25123|Resto del país
25126|Resto del país
25148|Resto del país
25151|Resto del país
25154|Resto del país
25168|Resto del país
25175|Resto del país
25178|Resto del país
25181|Resto del país
25183|Resto del país
25200|Resto del país
25214|Resto del país
25224|Resto del país
25245|Resto del país
25258|Resto del país
25260|Resto del país
25269|Resto del país
25279|Resto del país
25281|Resto del país
25286|Resto del país
25288|Resto del país
25290|Resto del país
25293|Resto del país
25295|Resto del país
25297|Resto del país
25299|Resto del país
25307|Resto del país
25312|Resto del país
25317|Resto del país
25320|Resto del país
25322|Resto del país
25324|Resto del país
25326|Resto del país
25328|Resto del país
25335|Resto del país
25339|Resto del país
25368|Resto del país
25372|Resto del país
25377|Resto del país
25386|Resto del país
25394|Resto del país
25398|Resto del país
25402|Resto del país
25407|Resto del país
25426|Resto del país
25430|Resto del país
25436|Resto del país
25438|Resto del país
25473|Resto del país
25483|Resto del país
25486|Resto del país
25488|Resto del país
25489|Resto del país
25491|Resto del país
25506|Resto del país
25513|Resto del país
25518|Resto del país
25524|Resto del país
25530|Resto del país
25535|Resto del país
25572|Resto del país
25580|Resto del país
25592|Resto del país
25594|Resto del país
25596|Resto del país
25599|Resto del país
25612|Resto del país
25645|Resto del país
25649|Resto del país
25653|Resto del país
25658|Resto del país
25662|Resto del país
25718|Resto del país
25736|Resto del país
25740|Resto del país
25743|Resto del país
25745|Resto del país
25754|Resto del país
25758|Resto del país
25769|Resto del país
25772|Resto del país
25777|Resto del país
25779|Resto del país
25781|Resto del país
25785|Resto del país
25793|Resto del país
25797|Resto del país
25799|Resto del país
25805|Resto del país
25807|Resto del país
25815|Resto del país
25817|Resto del país
25823|Resto del país
25839|Resto del país
25841|Resto del país
25843|Resto del país
25845|Resto del país
25851|Resto del país
25862|Resto del país
25867|Resto del país
25871|Resto del país
25873|Resto del país
25875|Resto del país
25878|Resto del país
25885|Resto del país
25898|Resto del país
25899|Resto del país
27001|Resto del país
27006|Resto del país
27025|Resto del país
27050|Resto del país
27073|Resto del país
27075|Resto del país
27077|Resto del país
27099|Resto del país
27135|Resto del país
27150|Resto del país
27160|Resto del país
27205|Resto del país
27245|Resto del país
27250|Resto del país
27361|Resto del país
27372|Resto del país
27413|Resto del país
27425|Resto del país
27430|Resto del país
27450|Resto del país
27491|Resto del país
27495|Resto del país
27580|Resto del país
27600|Resto del país
27615|Resto del país
27660|Resto del país
27745|Resto del país
27787|Resto del país
27800|Resto del país
27810|Resto del país
41001|Resto del país
41006|Resto del país
41013|Resto del país
41016|Resto del país
41020|Resto del país
41026|Resto del país
41078|Resto del país
41132|Resto del país
41206|Resto del país
41244|Resto del país
41298|Resto del país
41306|Resto del país
41319|Resto del país
41349|Resto del país
41357|Resto del país
41359|Resto del país
41378|Resto del país
41396|Resto del país
41483|Resto del país
41503|Resto del país
41518|Resto del país
41524|Resto del país
41530|Resto del país
41548|Resto del país
41551|Resto del país
41615|Resto del país
41660|Resto del país
41668|Resto del país
41676|Resto del país
41770|Resto del país
41791|Resto del país
41797|Resto del país
41799|Resto del país
41801|Resto del país
41807|Resto del país
41872|Resto del país
41885|Resto del país
44001|Resto del país
44035|Resto del país
44078|Resto del país
44090|Resto del país
44098|Resto del país
44110|Resto del país
44279|Resto del país
44378|Resto del país
44420|Resto del país
44430|Resto del país
44560|Resto del país
44650|Resto del país
44847|Resto del país
44855|Resto del país
44874|Resto del país
47001|Resto del país
47030|Resto del país
47053|Resto del país
47058|Resto del país
47161|Resto del país
47170|Resto del país
47189|Resto del país
47205|Resto del país
47245|Resto del país
47258|Resto del país
47268|Resto del país
47288|Resto del país
47318|Resto del país
47460|Resto del país
47541|Resto del país
47545|Resto del país
47551|Resto del país
47555|Resto del país
47570|Resto del país
47605|Resto del país
47660|Resto del país
47675|Resto del país
47692|Resto del país
47703|Resto del país
47707|Resto del país
47720|Resto del país
47745|Resto del país
47798|Resto del país
47960|Resto del país
47980|Resto del país
50001|Cercano zona desmilitarizada
50006|Cercano zona desmilitarizada
50110|Cercano zona desmilitarizada
50124|Cercano zona desmilitarizada
50150|Cercano zona desmilitarizada
50223|Cercano zona desmilitarizada
50226|Cercano zona desmilitarizada
50245|Cercano zona desmilitarizada
50251|Cercano zona desmilitarizada
50270|Cercano zona desmilitarizada
50287|Cercano zona desmilitarizada
50313|Cercano zona desmilitarizada
50318|Cercano zona desmilitarizada
50325|Cercano zona desmilitarizada
50330|Municipio desmilitarizado
